Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,OPS,DPS,PS,BLK,HIT,FOW,FOL,FO%,-9999
1,Jason Robertson,24,LW,82,29,51,80,19,22,20,9,0,4,32,19,0,231,12.6,1503,18:19,6.3,2.2,8.5,31,77,0,0,,roberja01
2,Joe Pavelski,39,C,82,27,40,67,12,20,16,11,0,4,30,10,0,194,13.9,1378,16:49,5.2,1.8,7.0,70,75,355,340,51.1,paveljo01
3,Wyatt Johnston,20,C,82,32,33,65,14,38,26,3,3,3,26,7,0,216,14.8,1394,17:00,5.5,1.9,7.3,42,52,318,316,50.2,johnswy01
4,Roope Hintz,27,LW,80,30,35,65,26,22,19,8,3,6,23,11,1,182,16.5,1379,17:14,5.3,2.3,7.6,38,36,318,248,56.2,hintzro01
5,Matt Duchene,33,C,80,25,40,65,15,20,19,6,0,7,30,10,0,172,14.5,1341,16:46,4.9,1.9,6.8,48,30,360,277,56.5,duchema01
6,Jamie Benn,34,LW,82,21,39,60,8,41,13,7,1,3,22,15,2,164,12.8,1240,15:07,4.3,1.5,5.9,50,110,436,276,61.2,bennja01
7,Miro Heiskanen,24,D,71,9,45,54,8,36,7,2,0,2,26,19,0,162,5.6,1742,24:32,3.9,3.7,7.7,97,55,0,0,,heiskmi01
8,Mason Marchment,28,F,81,22,31,53,22,54,16,6,0,3,26,5,0,150,14.7,1220,15:04,3.8,2.0,5.8,34,108,4,5,44.4,marchma01
9,Tyler Seguin,32,C,68,25,27,52,10,26,22,3,0,3,20,5,2,154,16.2,1125,16:33,4.3,1.5,5.7,22,61,342,266,56.3,seguity01
10,Thomas Harley,22,D,79,15,32,47,28,18,13,1,1,3,24,8,0,144,10.4,1660,21:01,3.9,5.1,9.0,135,67,0,0,,harleth01
11,Esa Lindell,29,D,82,5,21,26,17,12,5,0,0,0,20,0,1,114,4.4,1679,20:28,0.9,4.3,5.2,162,74,0,0,,lindees01
12,Sam Steel,25,C,77,9,15,24,0,29,7,0,2,1,14,0,1,86,10.5,1020,13:15,0.4,1.0,1.4,32,58,94,115,45.0,steelsa01
13,Evgenii Dadonov,34,RW,51,12,11,23,-6,8,11,1,0,3,10,1,0,67,17.9,672,13:11,1.5,0.4,1.9,19,35,0,4,0.0,dadonev01
14,Craig Smith,34,C,75,11,9,20,2,33,11,0,0,2,9,0,0,112,9.8,766,10:13,0.9,0.8,1.7,30,51,1,3,25.0,smithcr01
15,Radek Faksa,30,C,74,7,12,19,0,20,5,0,2,2,10,0,2,71,9.9,926,12:31,-0.1,0.9,0.8,42,97,283,237,54.4,faksara01
16,Nils Lundkvist,23,D,59,2,17,19,13,16,2,0,0,0,15,2,0,73,2.7,832,14:06,1.0,2.5,3.5,38,44,0,0,,lundkni01
17,Ryan Suter,39,D,82,2,15,17,14,28,2,0,0,1,14,0,1,102,2.0,1553,18:56,-0.1,3.8,3.8,111,86,0,0,,suterry01
18,Logan Stankoven,20,C,24,6,8,14,10,4,5,1,0,0,7,1,0,51,11.8,352,14:40,0.9,0.7,1.7,11,20,11,6,64.7,stanklo01
19,Jani Hakanpää,31,D,64,2,10,12,10,33,2,0,0,1,10,0,0,56,3.6,1193,18:39,-0.1,2.9,2.8,123,196,0,0,,hakanja01
20,Ty Dellandrea,23,C,42,2,7,9,-10,23,2,0,0,0,7,0,0,53,3.8,532,12:40,-0.4,0.2,-0.3,17,63,93,131,41.5,dellaty01
21,Chris Tanev,34,D,19,1,4,5,6,10,1,0,0,0,4,0,0,13,7.7,365,19:13,0.1,1.1,1.2,36,20,0,0,,tanevch01
22,Joel Hanley,32,D,32,0,3,3,3,23,0,0,0,0,3,0,0,12,0.0,438,13:42,-0.2,1.0,0.8,32,36,0,0,,hanlejo01
23,Mavrik Bourque,22,C,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0.0,11,10:56,0.0,0.0,0.0,0,1,2,4,33.3,bourqma01
24,Matt Murray,25,G,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,60,60:00,0.0,0.0,0.4,0,0,0,0,,murrama03
25,Jake Oettinger,25,G,54,0,0,0,0,2,0,0,0,0,0,0,0,0,,3085,57:07,0.0,0.0,8.7,0,0,0,0,,oettija01
26,Alexander Petrovic,31,D,1,0,0,0,-1,0,0,0,0,0,0,0,0,2,0.0,13,12:52,0.0,0.0,-0.1,0,2,0,0,,petroal01
27,Derrick Pouliot,30,D,5,0,0,0,-1,0,0,0,0,0,0,0,0,5,0.0,61,12:08,-0.1,0.0,0.0,5,4,0,0,,poulide01
28,Scott Wedgewood,31,G,32,0,0,0,0,0,0,0,0,0,0,0,0,0,,1789,55:55,0.0,0.0,4.5,0,0,0,0,,wedgesc01
,Team Total,,,82,294,505,799,219,538,224,58,12,48,382,113,10,2588,11.4,,,52.2,43.4,109.1,1225,1458,2617,2228,54.0,-9999