No.,Player,Birth,Pos,Age,Ht,Wt,S/C,Exp,Birth Date,Summary,Salary,Draft,Player-additional
37,Oskar Back,se SE,F,23,6-3,210,L/-,R,March 12 2000,,N/A,2018 DAL 3rd (75),backos01
14,Jamie Benn (C),ca CA,F,34,6-2,205,L/-,14,July 18 1989,21 G 39 A 60 P,N/A,2007 DAL 5th (129),bennja01
6,Lian Bichsel,ch CH,D,19,6-5,216,L/-,R,May 18 2004,,N/A,2022 DAL 1st (18),bichsli01
25,Matej Blumel,cz CZ,F,23,6-0,200,L/-,1,May 31 2000,,N/A,2019 EDM 4th (100),blumema01
22,Mavrik Bourque,ca CA,F,22,5-10,191,R/-,R,January 8 2002,0 G 0 A 0 P,N/A,2020 DAL 1st (30),bourqma01
63,Evgenii Dadonov,su SU,F,34,5-11,189,L/-,9,March 12 1989,12 G 11 A 23 P,N/A,2007 FLA 3rd (71),dadonev01
95,Matt Duchene,ca CA,F,33,5-11,195,L/-,14,January 16 1991,25 G 40 A 65 P,N/A,2009 COL 1st (3),duchema01
12,Radek Faksa,cz CZ,F,30,6-3,225,L/-,8,January 9 1994,7 G 12 A 19 P,N/A,2012 DAL 1st (13),faksara01
2,Jani Hakanpaa,fi FI,D,31,6-6,225,R/-,4,March 31 1992,2 G 10 A 12 P,N/A,2010 STL 4th (104),hakanja01
55,Thomas Harley,us US,D,22,6-3,205,L/-,2,August 19 2001,15 G 32 A 47 P,N/A,2019 DAL 1st (18),harleth01
4,Miro Heiskanen,fi FI,D,24,6-1,195,L/-,5,July 18 1999,9 G 45 A 54 P,N/A,2017 DAL 1st (3),heiskmi01
24,Roope Hintz,fi FI,F,27,6-3,215,L/-,5,November 17 1996,30 G 35 A 65 P,N/A,2015 DAL 2nd (49),hintzro01
53,Wyatt Johnston,ca CA,F,20,6-1,185,R/-,1,May 14 2003,32 G 33 A 65 P,N/A,2021 DAL 1st (23),johnswy01
51,Fredrik Karlstrom,se SE,F,26,6-3,195,L/-,2,January 12 1998,,N/A,2016 DAL 3rd (90),karlsfr01
23,Esa Lindell,fi FI,D,29,6-3,220,L/-,8,May 23 1994,5 G 21 A 26 P,N/A,2012 DAL 3rd (74),lindees01
5,Nils Lundkvist,se SE,D,23,5-11,190,R/-,2,July 27 2000,2 G 17 A 19 P,N/A,2018 NYR 1st (28),lundkni01
27,Mason Marchment,ca CA,F,28,6-4,210,L/-,4,June 18 1995,22 G 31 A 53 P,N/A,,marchma01
32,Matt Murray,ca CA,G,25,6-1,196,-/L,1,February 2 1998,1-0-0 0.00 GAA,N/A,,murrama03
29,Jake Oettinger,us US,G,25,6-5,220,-/L,3,December 18 1998,35-14-4 2.72 GAA,N/A,2017 DAL 1st (26),oettija01
16,Joe Pavelski,us US,F,39,5-11,200,R/-,17,July 11 1984,27 G 40 A 67 P,N/A,2003 SJS 7th (205),paveljo01
28,Alexander Petrovic,ca CA,D,31,6-5,208,R/-,7,March 3 1992,0 G 0 A 0 P,N/A,2010 FLA 2nd (36),petroal01
31,Remi Poirier,ca CA,G,22,6-2,210,-/L,R,October 6 2001,,N/A,2020 DAL 6th (185),poirire01
33,Derrick Pouliot,ca CA,D,30,6-1,204,L/-,8,January 16 1994,0 G 0 A 0 P,N/A,2012 PIT 1st (8),poulide01
21,Jason Robertson,us US,F,24,6-3,200,L/-,4,July 22 1999,29 G 51 A 80 P,N/A,2017 DAL 2nd (39),roberja01
91,Tyler Seguin,ca CA,F,32,6-1,205,R/-,13,January 31 1992,25 G 27 A 52 P,N/A,2010 BOS 1st (2),seguity01
15,Craig Smith,us US,F,34,6-0,204,R/-,12,September 5 1989,11 G 9 A 20 P,N/A,2009 NSH 4th (98),smithcr01
11,Logan Stankoven,ca CA,F,20,5-8,171,R/-,R,February 26 2003,6 G 8 A 14 P,N/A,2021 DAL 2nd (47),stanklo01
18,Sam Steel,ca CA,F,25,5-11,184,L/-,5,February 3 1998,9 G 15 A 24 P,N/A,2016 ANA 1st (30),steelsa01
20,Ryan Suter,us US,D,39,6-1,205,L/-,18,January 21 1985,2 G 15 A 17 P,N/A,2003 NSH 1st (7),suterry01
3,Chris Tanev,ca CA,D,34,6-2,193,R/-,13,December 20 1989,1 G 4 A 5 P,N/A,,tanevch01
41,Scott Wedgewood,ca CA,G,31,6-2,205,-/L,5,August 14 1992,16-7-5 2.85 GAA,N/A,2010 NJD 3rd (84),wedgesc01